name,relation,new_object,time
数学与应用数学,成立,数学系,1979年
数学系,成立,理学院,1997年
物理系,成立,理学院,1997年
化学系,成立,理学院,1997年
数学系,成立,南开大学、天津大学刘徽应用数学中心,2001年
数学系,成立,天津大学应用数学中心,2012年
数学系,成立,数学学院,2016年
马列主义教研室,成立,马克思主义专业,1985年
马克思主义专业,成立,马克思主义学院,2009年
经济法专业,成立,法学系,1997年
法学系,成立,法学院,2015年
金属材料系,成立,材料科学与工程学院,1997年
无机非金属材料系,成立,材料科学与工程学院,1997年
高分子材料系,成立,材料科学与工程学院,1997年
分析中心,成立,材料科学与工程学院,1997年
材料化学专业,成立,材料科学与工程学院,2001年
化工系,成立,化学工程系,1966年
化工系,成立,化工研究所,1982年
化工系,成立,应用化学系,1983年
化工系,成立,化学系,1983年
无机化工系,成立,化工系,1960年
化学工程系,成立,化工学院,1997年
化工研究所,成立,化工学院,1997年
应用化学系,成立,化工学院,1997年
软件与网络技术学院,成立,软件学院,2002年
电子工程系,成立,电子信息工程学院,1996年
计算机科学与工程系,成立,电子信息工程学院,1997年
网络信息中心,成立,电子信息工程学院,1998年
电力及自动化工程系,成立,电气自动化与能源工程学院,1997年
电子信息工程学院,成立,软件学院,2005年
电子信息工程学院,成立,计算机科学与技术学院,2006年
电子工程系,成立,电子信息工程学院,1996年
计算机科学与工程系,成立,电子信息工程学院,1996年
网络信息中心,成立,电子信息工程学院,1996年
电机工程系,成立,电信工程系、电力工程系,1952年
计算机科学与技术学院,成立,智能与计算学部,2018年
软件学院,成立,智能与计算学部,2018年
网络安全学院,成立,智能与计算学部,2018年
人工智能学院,成立,智能与计算学部,2018年
土木系,成立,水利工程组,1933年
土木系,成立,土木工程组,1933年
土木工程系,成立,建筑工程学院,1997年
海洋与船舶工程系,成立,建筑工程学院,1997年
水资源与港湾工程系,成立,建筑工程学院,1997年
津沽大学建筑工程系,成立,土木建筑工程系,1952年
北方交通大学建筑工程系,成立,土木建筑工程系,1952年
天津大学土木工程系,成立,土木建筑工程系,1952年
工业管理系,成立,系统工程研究所,1978年
工业管理系,成立,工业管理工程系,1979年
工程管理系,成立,管理学院,1984年
系统工程研究所,成立,管理学院,1984年
管理学院,成立,管理与经济学部,2009年
电子信息工程学院,成立,软件与网络学院,2001年
水利工程系,成立,船舶工程与海洋工程专业,1970年
