name,original_object,relation_origin,time,new_object,relation_new
地质组,天津大学,调出,1952年,北京科技大学,调入
冶金系,天津大学,调出,1952年,北京科技大学,调入
采矿系,天津大学,调出,1952年,中国石油大学,调入
航空系,天津大学,调出,1952年,北京航空航天大学,调入
采矿系采煤组,天津大学,调出,1952年,中国矿业大学,调入
水利系,天津大学,调出,1952年,武汉大学,调入
农田水利,天津大学,调出,1952年,武汉大学,调入
土壤改良专业,天津大学,调出,1952年,武汉大学,调入
土木工程系测量专业,天津大学,调出,1952年,武汉大学,调入
矿冶工程系,天津大学,调出,1952年,华北理工大学,调入
纺织工程系,天津大学,调出,1952年,天津工业大学,调入
化学工程系造纸专业,天津大学,调出,1952年,天津科技大学,调入
抽调电信系,天津大学,调出,1952年,北京邮电大学,调入
天津大学数学系,天津大学,调出,1952年,南开大学,调入
天津大学物理系,天津大学,调出,1952年,南开大学,调入
采矿系采石油组,天津大学,调出,1952年,清华大学,调入
南开大学工学院,南开大学,调出,1952年,天津大学,调入
津沽大学工学院,津沽大学,调出,1952年,天津大学,调入
清华大学化学工程系,清华大学,调出,1952年,天津大学,调入
北京大学化学工程系,北京大学,调出,1952年,天津大学,调入
燕京大学化学工程系,燕京大学,调出,1952年,天津大学,调入
唐山铁道学院化学工程系,西南交通大学,调出,1952年,天津大学,调入
北洋大学法科,国立北洋大学,调出,1920年,北京大学,调入
电信工程系,天津大学,调出,1955年,北京邮电大学,调入
南开大学电机工程系,南开大学,调出,1952年,天津大学,调入
