name,school
机械工程学院,天津大学
精密仪器与光电子工程学院,天津大学
电气自动化与信息工程学院,天津大学
微电子学院,天津大学
智能与计算学部,天津大学
建筑工程学院,天津大学
建筑学院,天津大学
化工学院,天津大学
材料科学与工程学院,天津大学
环境科学与工程学院,天津大学
管理与经济学部,天津大学
外国语言与文学学院,天津大学
法学院,天津大学
马克思主义学院,天津大学
理学院,天津大学
数学学院,天津大学
药物科学与技术学院,天津大学
生命科学学院,天津大学
海洋科学与技术学院,天津大学
地球系统科学学院,天津大学
医学部,天津大学
求是学部（国际工程师学院）,天津大学
教育学院,天津大学
国际教育学院,天津大学
新媒体与传播学院,天津大学
分子+研究院,天津大学
分子聚集态科学研究院,天津大学
数学系,天津大学
物理系,天津大学
表层地球系统科学研究院,天津大学
数学与应用数学,天津大学
化学系,天津大学
天津大学应用数学中心,天津大学
政治课教研室,天津大学
马列主义教研室,天津大学
马克思主义专业,天津大学
经济法专业,天津大学
法学系,天津大学
工业管理系,天津大学
系统工程研究所,天津大学
工业管理工程系,天津大学
硅酸盐工业专业,天津大学
技术陶瓷专业,天津大学
无机非金属材料专业,天津大学
金属材料系,天津大学
无机非金属材料系,天津大学
高分子材料系,天津大学
材料加工及自动化专业,天津大学
材料化学专业,天津大学
机械学院,天津大学
化工系,天津大学
无机化工系,天津大学
化学工程系,天津大学
应用化学系,天津大学
化工机械专业,天津大学
机械系,天津大学
内燃机专业,天津大学
物理工程系,天津大学
应用力学专业,天津大学
基础科学系,天津大学
力学系,天津大学
热能工程系,天津大学
光电子技术专业,天津大学
电子科学与技术（光电子技术）专业,天津大学
计算机科学与技术系,天津大学
计算机科学与技术学院,天津大学
电子工程系,天津大学
电子信息工程学院,天津大学
计算机专业,天津大学
电力及自动化工程系,天津大学
电气自动化与能源工程学院,天津大学
电机与动力工程系,天津大学
软件与网络技术学院,天津大学
计算机科学与工程系,天津大学
网络信息中心,天津大学
核电子学及仪器专业,天津大学
工程物理系,天津大学
无线电电子学系,天津大学
电力工程系,天津大学
软件学院,天津大学
网络安全学院,天津大学
人工智能学院,天津大学
土木系,天津大学
土木工程组,天津大学
水利工程组,天津大学
水利工程系,天津大学
海洋工程和船舶工程专业,天津大学
海洋与船舶工程系,天津大学
水资源与港湾工程系,天津大学
土木建筑工程系,天津大学
土木工程系,天津大学
天津大学土木工程系,天津大学
建筑系,天津大学
管理学院,天津大学
