name,time,introduction,image,school
中国第一所现代大学,1895, 1895年，天津海关道盛宣怀上书，禀请光绪皇帝设立北洋大学堂，10月2日，光绪皇帝下旨钦准。我国近代自己创办的第一所现代大学诞生,http://www.tju.edu.cn/__local/5/F8/12/EA3E560FE3F6AE3B7B2D7CB651F_92A1531B_9AB2.jpeg,北洋大学堂
中国第一张大学文凭（钦字第一号）,1899, 1899年，北洋大学第一届学生毕业。1900年，由北洋通商大臣堂裕颁发“钦字壹号”即中国第一张大学毕业文凭，获得者是法科学生王宠惠,http://www.tju.edu.cn/__local/4/F4/CF/361191E15F6D1A947C16EED347D_50E3C73D_A880.jpeg,北洋大学堂
北洋大学堂被迫停办,1900, 1900年，八国联军攻占天津，北洋大学堂校舍被德军占据，学堂被迫停办,http://www.tju.edu.cn/__local/8/97/17/A5F2A5EAA60B72BDA1EE59D2156_2061A14B_92A0.jpeg,北洋大学堂
校址迁至天津西沽武库,1903, 1903年4月，北洋大学堂在西沽武库新校址复校,http://www.tju.edu.cn/__local/A/70/5A/D73BC6D87B5170F31C191DF4596_F629F9E5_8D42.jpeg,北洋大学堂
北洋大学堂第一批毕业生留学美国,1903, 1903年，北洋大学堂选派第一批毕业生留学美国,http://www.tju.edu.cn/__local/9/BB/D8/C0D966B463E4757FEB73452EBCE_649E9F31_ADB0.jpeg,北洋大学堂
北洋大学学生冯熙敏获殿试第一名,1910, 1910年，宣统皇帝御批会考全国毕业生，并进行殿试嘉奖，北洋大学土木工程学门学生冯熙敏，获会考第一名,http://www.tju.edu.cn/__local/4/86/CE/644B59BFBB8C2B166A641BF6DB0_6DB68077_3E2F.jpeg,北洋大学堂
北洋大学堂改称北洋大学校,1912, 1912年，北洋大学堂依据国民政府教育部令改称北洋大学校,http://www.tju.edu.cn/__local/A/64/55/7AA0CA3DCBC24770AA0C9BA8FD0_DB13CDEA_A816.jpeg,北洋大学堂、北洋大学校
北洋大学校奉令改称国立北洋大学,1913, 1913年，北洋大学校奉令改称国立北洋大学,http://www.tju.edu.cn/__local/D/9C/68/4A5A0F3DDA6E9D7B01A4972C9F0_EA2D6C76_A518.jpeg,北洋大学校、国立北洋大学
赵天麟校长颁布校训：“实事求是”,1915, 1915年，赵天麟校长颁布校训：“实事求是”,http://www.tju.edu.cn/__local/0/77/A8/9AB9FF057DD2C7ACCFBA0803193_1E0196EC_5349.jpeg,国立北洋大学
北洋大学进入专办工科时代,1920, 1920年，北洋大学法科停办（法科调入北京大学），改为专办工科,http://www.tju.edu.cn/__local/B/C7/E3/E868539BEA125070B88D9D45FA4_87992226_97B8.jpeg,国立北洋大学
建立“中国第一水工试验所”,1928, 1928年，学校建立了“天津第一水工试验所”，1935年改为“中国第一水工试验所”,http://www.tju.edu.cn/__local/9/23/10/B4561E0487C0134193576700511_7F684AEE_38F9.jpeg,国立北洋大学
北洋大学改为国立北洋工学院,1929, 1929年7月，国民政府颁布了《大学组织法》，北洋大学改为国立北洋工学院。学校教学大楼遭火灾焚毁,http://www.tju.edu.cn/__local/1/7E/11/6A3F3B69E788B0C89266A605779_3039BD9B_9059.jpeg,国立北洋大学、国立北洋工学院
成功试制中国第一台飞机发动机,1934, 1934年，北洋工学院教授邓曰谟仿制成功我国第一台飞机发动机,http://www.tju.edu.cn/__local/B/03/95/10117888DE2CE95FF893A431033_122D4FD5_AE8D.jpeg,国立北洋工学院
北洋工学院开始招收研究生,1935, 1935年，北洋工学院开始招收研究生,http://www.tju.edu.cn/__local/8/56/BF/F89F24F97917769B874A3FF208F_9CC68C1B_A632.jpeg,国立北洋工学院
