name,school
盛宣怀,北洋大学堂
丁家立,北洋大学堂
唐绍仪,北洋大学堂
梁敦彦,北洋大学堂
梁如浩,北洋大学堂
蔡绍基,北洋大学堂
徐德源,北洋大学堂
蔡儒楷,北洋大学堂
徐德源,北洋大学校
蔡儒楷,国立北洋大学
赵天麟,国立北洋大学
冯熙运,国立北洋大学
刘仙洲,国立北洋大学
茅以升,北平大学第二工学院
茅以升,国立北洋工学院
蔡远泽,国立北洋工学院
李书田,国立北洋工学院
赖琏,西北工学院
潘承孝,西北工学院
陈荩民,泰顺北洋工学院
李书田,北洋工学院西京分院
金问洙,国立北洋大学
钟世铭,国立北洋大学
张含英,国立北洋大学
刘锡瑛,国立北洋大学
吴德,天津大学
张国藩,天津大学
李曙森,天津大学
贾震,天津大学
苏庄,天津大学
臧伯平,天津大学
路达,天津大学
胡泮生,天津大学
李瑞,天津大学
史绍熙,天津大学
杨辉,天津大学
吴咏诗,天津大学
杨渝钦,天津大学
李光泉,天津大学
单平,天津大学
刘建平,天津大学
龚克,天津大学
李家俊,天津大学
钟登华,天津大学
金东寒,天津大学
